refAreaCode,importParnter3_Code,importParnter3_DescEN,importParnter3_DescFR
4,156,China,Chine
8,792,Turkey,Turquie
12,380,Italy,Italie
20,276,Germany,Allemagne
28,392,Japan,Japon
31,156,China,Chine
32,840,United States,États-Unis
36,392,Japan,Japon
40,156,China,Chine
44,212,Dominica,Dominique
48,840,United States,États-Unis
50,702,Singapore,Singapour
51,792,Turkey,Turquie
52,156,China,Chine
56,250,France,France
60,826,United Kingdom,Royaume-Uni
64,410,Republic of Korea,République de Corée
68,32,Argentina,Argentine
70,688,Serbia,Serbie
72,516,Namibia,Namibie
76,32,Argentina,Argentine
84,484,Mexico,Mexique
90,554,New Zealand,Nouvelle-Zélande
96,458,Malaysia,Malaisie
100,380,Italy,Italie
108,682,Saudi Arabia,Arabie saoudite
112,276,Germany,Allemagne
116,704,Viet Nam,Viet Nam
120,566,Nigeria,Nigéria
124,484,Mexico,Mexique
132,380,Italy,Italie
136,208,Denmark,Danemark
140,840,United States,États-Unis
152,76,Brazil,Brésil
156,490,Asia nes,Asie nsa
170,484,Mexico,Mexique
174,250,France,France
178,578,Norway,Norvège
184,380,Italy,Italie
188,484,Mexico,Mexique
191,705,Slovenia,Slovénie
196,156,China,Chine
203,616,Poland,Pologne
204,250,France,France
208,528,Netherlands,Pays-Bas
212,484,Mexico,Mexique
214,484,Mexico,Mexique
218,170,Colombia,Colombie
222,320,Guatemala,Guatemala
231,356,India,Inde
233,156,China,Chine
242,36,Australia,Australie
246,752,Sweden,Suède
250,380,Italy,Italie
258,840,United States,États-Unis
268,156,China,Chine
270,724,Spain,Espagne
275,156,China,Chine
276,250,France,France
288,840,United States,États-Unis
296,156,China,Chine
300,643,Russian Federation,Fédération de Russie
304,156,China,Chine
320,156,China,Chine
324,724,Spain,Espagne
328,156,China,Chine
340,320,Guatemala,Guatemala
344,702,Singapore,Singapour
348,616,Poland,Pologne
352,156,China,Chine
356,784,United Arab Emirates,Émirats arabes unis
360,392,Japan,Japon
364,410,Republic of Korea,République de Corée
372,250,France,France
376,899,Areas nes,Zones nsa
380,156,China,Chine
384,156,China,Chine
388,156,China,Chine
392,36,Australia,Australie
398,276,Germany,Allemagne
400,840,United States,États-Unis
404,392,Japan,Japon
410,840,United States,États-Unis
414,784,United Arab Emirates,Émirats arabes unis
417,398,Kazakhstan,Kazakhstan
422,840,United States,États-Unis
426,156,China,Chine
428,616,Poland,Pologne
440,616,Poland,Pologne
442,250,France,France
446,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
450,356,India,Inde
454,784,United Arab Emirates,Émirats arabes unis
458,840,United States,États-Unis
462,156,China,Chine
466,384,Côte d’Ivoire,Côte d’Ivoire
470,124,Canada,Canada
478,578,Norway,Norvège
480,710,South Africa,Afrique du Sud
484,392,Japan,Japon
496,392,Japan,Japon
498,804,Ukraine,Ukraine
499,276,Germany,Allemagne
500,826,United Kingdom,Royaume-Uni
504,156,China,Chine
508,156,China,Chine
512,156,China,Chine
516,894,Zambia,Zambie
524,899,Areas nes,Zones nsa
528,156,China,Chine
533,899,Areas nes,Zones nsa
540,702,Singapore,Singapour
548,554,New Zealand,Nouvelle-Zélande
554,840,United States,États-Unis
558,484,Mexico,Mexique
562,840,United States,États-Unis
566,528,Netherlands,Pays-Bas
578,156,China,Chine
583,490,Asia nes,Asie nsa
585,392,Japan,Japon
586,840,United States,États-Unis
591,840,United States,États-Unis
598,702,Singapore,Singapour
600,32,Argentina,Argentine
604,76,Brazil,Brésil
608,410,Republic of Korea,République de Corée
616,643,Russian Federation,Fédération de Russie
620,250,France,France
626,704,Viet Nam,Viet Nam
634,276,Germany,Allemagne
642,348,Hungary,Hongrie
643,840,United States,États-Unis
646,404,Kenya,Kenya
659,124,Canada,Canada
662,899,Areas nes,Zones nsa
670,826,United Kingdom,Royaume-Uni
678,156,China,Chine
682,276,Germany,Allemagne
686,566,Nigeria,Nigéria
688,156,China,Chine
694,356,India,Inde
702,840,United States,États-Unis
703,568,Europe nes,Europe nsa
704,392,Japan,Japon
705,40,Austria,Autriche
710,840,United States,États-Unis
716,156,China,Chine
724,156,China,Chine
740,780,Trinidad and Tobago,Trinité-et-Tobago
752,578,Norway,Norvège
756,380,Italy,Italie
764,840,United States,États-Unis
768,392,Japan,Japon
776,528,Netherlands,Pays-Bas
784,840,United States,États-Unis
788,156,China,Chine
792,643,Russian Federation,Fédération de Russie
796,392,Japan,Japon
800,404,Kenya,Kenya
804,276,Germany,Allemagne
807,300,Greece,Grèce
818,380,Italy,Italie
826,840,United States,États-Unis
834,784,United Arab Emirates,Émirats arabes unis
840,124,Canada,Canada
854,250,France,France
858,32,Argentina,Argentine
862,484,Mexico,Mexique
882,840,United States,États-Unis
887,682,Saudi Arabia,Arabie saoudite
894,156,China,Chine
24,410,Republic of Korea,République de Corée
92,756,Switzerland,Suisse
104,764,Thailand,Thaïlande
144,784,United Arab Emirates,Émirats arabes unis
148,120,Cameroon,Cameroun
180,894,Zambia,Zambie
192,484,Mexico,Mexique
226,840,United States,États-Unis
232,784,United Arab Emirates,Émirats arabes unis
234,276,Germany,Allemagne
238,300,Greece,Grèce
262,784,United Arab Emirates,Émirats arabes unis
266,56,Belgium,Belgique
292,724,Spain,Espagne
308,826,United Kingdom,Royaume-Uni
332,156,China,Chine
368,156,China,Chine
408,764,Thailand,Thaïlande
418,704,Viet Nam,Viet Nam
430,356,India,Inde
434,792,Turkey,Turquie
580,410,Republic of Korea,République de Corée
584,156,China,Chine
624,686,Senegal,Sénégal
654,300,Greece,Grèce
660,616,Poland,Pologne
666,528,Netherlands,Pays-Bas
690,250,France,France
706,356,India,Inde
728,840,United States,États-Unis
729,356,India,Inde
748,156,China,Chine
760,643,Russian Federation,Fédération de Russie
