refAreaCode,importPartner2_Code,importPartner2_DescEN,importPartner2_DescFR
4,586,Pakistan,Pakistan
8,792,Turkey,Turquie
12,250,France,France
20,250,France,France
28,899,Areas nes,Zones nsa
31,792,Turkey,Turquie
32,156,China,Chine
36,840,United States,États-Unis
40,380,Italy,Italie
44,410,Rep. of Korea,République de Corée
48,156,China,Chine
50,356,India,Inde
51,156,China,Chine
52,780,Trinidad and Tobago,Trinité-et-Tobago
56,276,Germany,Allemagne
60,124,Canada,Canada
64,840,United States,États-Unis
68,76,Brazil,Brésil
70,380,Italy,Italie
72,124,Canada,Canada
76,840,United States,États-Unis
84,156,China,Chine
90,702,Singapore,Singapour
96,702,Singapore,Singapour
100,643,Russian Federation,Fédération de Russie
108,156,China,Chine
112,156,China,Chine
116,764,Thailand,Thaïlande
120,250,France,France
124,156,China,Chine
132,724,Spain,Espagne
136,528,Netherlands,Pays-Bas
140,120,Cameroon,Cameroun
144,156,China,Chine
152,840,United States,États-Unis
156,392,Japan,Japon
170,156,China,Chine
174,156,China,Chine
178,516,Namibia,Namibie
184,242,Fiji,Fidji
188,156,China,Chine
191,380,Italy,Italie
196,380,Italy,Italie
203,156,China,Chine
204,764,Thailand,Thaïlande
208,752,Sweden,Suède
212,156,China,Chine
214,156,China,Chine
218,156,China,Chine
222,156,China,Chine
231,840,United States,États-Unis
233,643,Russian Federation,Fédération de Russie
242,156,China,Chine
246,643,Russian Federation,Fédération de Russie
250,156,China,Chine
258,554,New Zealand,Nouvelle-Zélande
268,643,Russian Federation,Fédération de Russie
270,686,Senegal,Sénégal
275,792,Turkey,Turquie
276,528,Netherlands,Pays-Bas
288,840,United States,États-Unis
296,242,Fiji,Fidji
300,368,Iraq,Iraq
304,752,Sweden,Suède
320,156,China,Chine
324,528,Netherlands,Pays-Bas
328,780,Trinidad and Tobago,Trinité-et-Tobago
340,156,China,Chine
344,490,Asia nes,Asie nsa
348,40,Austria,Autriche
352,156,China,Chine
356,840,United States,États-Unis
360,702,Singapore,Singapour
364,784,United Arab Emirates,Émirats arabes unis
372,840,United States,États-Unis
376,840,United States,États-Unis
380,250,France,France
384,250,France,France
388,392,Japan,Japon
392,840,United States,États-Unis
398,156,China,Chine
400,682,Saudi Arabia,Arabie saoudite
404,356,India,Inde
410,392,Japan,Japon
414,840,United States,États-Unis
417,643,Russian Federation,Fédération de Russie
422,40,Austria,Autriche
426,156,China,Chine
428,276,Germany,Allemagne
440,276,Germany,Allemagne
442,276,Germany,Allemagne
446,899,Areas nes,Zones nsa
450,784,United Arab Emirates,Émirats arabes unis
454,156,China,Chine
458,702,Singapore,Singapour
462,702,Singapore,Singapour
466,156,China,Chine
470,136,Cayman Isds,Îles Caïmanes
478,784,United Arab Emirates,Émirats arabes unis
480,356,India,Inde
484,156,China,Chine
496,643,Russian Federation,Fédération de Russie
498,643,Russian Federation,Fédération de Russie
499,156,China,Chine
500,826,United Kingdom,Royaume-Uni
504,250,France,France
508,156,China,Chine
512,899,Areas nes,Zones nsa
516,100,Bulgaria,Bulgarie
524,156,China,Chine
528,56,Belgium,Belgique
533,899,Areas nes,Zones nsa
540,36,Australia,Australie
548,36,Australia,Australie
554,36,Australia,Australie
558,156,China,Chine
562,156,China,Chine
566,56,Belgium,Belgique
578,276,Germany,Allemagne
583,840,United States,États-Unis
585,702,Singapore,Singapour
586,784,United Arab Emirates,Émirats arabes unis
591,702,Singapore,Singapour
598,156,China,Chine
600,76,Brazil,Brésil
