refAreaCode,exportPartner2_Code,exportPartner2_DescEN,exportPartner2_DescFR
4,356,India,Inde
8,688,Serbia,Serbie
12,250,France,France
20,250,France,France
28,826,United Kingdom,Royaume-Uni
31,792,Turkey,Turquie
32,840,United States,États-Unis
36,899,Areas nes,Zones nsa
40,840,United States,États-Unis
44,616,Poland,Pologne
50,840,United States,États-Unis
51,756,Switzerland,Suisse
52,840,United States,États-Unis
56,250,France,France
60,899,Areas nes,Zones nsa
64,826,United Kingdom,Royaume-Uni
68,32,Argentina,Argentine
70,191,Croatia,Croatie
72,356,India,Inde
76,840,United States,États-Unis
84,840,United States,États-Unis
90,380,Italy,Italie
96,410,Rep. of Korea,République de Corée
100,792,Turkey,Turquie
108,180,Dem.Rep. of the Congo,Rép. Dém. du Congo
112,804,Ukraine,Ukraine
116,826,United Kingdom,Royaume-Uni
120,156,China,Chine
124,156,China,Chine
132,620,Portugal,Portugal
140,204,Benin,Bénin
144,826,United Kingdom,Royaume-Uni
152,840,United States,États-Unis
156,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
170,591,Panama,Panama
174,250,France,France
178,724,Spain,Espagne
184,156,China,Chine
188,56,Belgium,Belgique
191,276,Germany,Allemagne
196,837,Bunkers,Com. de soute
203,703,Slovakia,Slovaquie
204,50,Bangladesh,Bangladesh
208,276,Germany,Allemagne
212,682,Saudi Arabia,Arabie saoudite
214,332,Haiti,Haïti
218,604,Peru,Pérou
222,340,Honduras,Honduras
231,682,Saudi Arabia,Arabie saoudite
233,752,Sweden,Suède
242,36,Australia,Australie
246,752,Sweden,Suède
250,724,Spain,Espagne
258,840,United States,États-Unis
268,643,Russian Federation,Fédération de Russie
270,466,Mali,Mali
275,400,Jordan,Jordanie
276,250,France,France
288,156,China,Chine
296,840,United States,États-Unis
300,276,Germany,Allemagne
304,620,Portugal,Portugal
320,222,El Salvador,El Salvador
324,784,United Arab Emirates,Émirats arabes unis
328,840,United States,États-Unis
340,276,Germany,Allemagne
344,840,United States,États-Unis
348,642,Romania,Roumanie
352,826,United Kingdom,Royaume-Uni
356,784,United Arab Emirates,Émirats arabes unis
360,392,Japan,Japon
364,568,Europe nes,Europe nsa
372,56,Belgium,Belgique
376,156,China,Chine
380,250,France,France
384,840,United States,États-Unis
388,528,Netherlands,Pays-Bas
392,156,China,Chine
398,156,China,Chine
400,838,Free Zones,Zones franches
404,800,Uganda,Ouganda
410,840,United States,États-Unis
417,643,Russian Federation,Fédération de Russie
422,24,Angola,Angola
426,840,United States,États-Unis
428,233,Estonia,Estonie
440,428,Latvia,Lettonie
442,250,France,France
446,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
450,840,United States,États-Unis
454,710,South Africa,Afrique du Sud
458,156,China,Chine
462,276,Germany,Allemagne
466,756,Switzerland,Suisse
470,837,Bunkers,Com. de soute
478,756,Switzerland,Suisse
480,826,United Kingdom,Royaume-Uni
484,899,Areas nes,Zones nsa
