refAreaCode,importPartner1_Code,importPartner1_DescEN,importPartner1_DescFR
4,364,Iran (Islamic Rep.),Iran (Rép. islamique)
8,380,Italy,Italie
12,156,China,Chine
20,724,Spain,Espagne
28,840,United States,États-Unis
31,643,Russian Federation,Fédération de Russie
32,76,Brazil,Brésil
36,156,China,Chine
40,276,Germany,Allemagne
44,840,United States,États-Unis
48,899,Areas nes,Zones nsa
50,156,China,Chine
51,643,Russian Federation,Fédération de Russie
52,840,United States,États-Unis
56,528,Netherlands,Pays-Bas
60,840,United States,États-Unis
64,356,India,Inde
68,156,China,Chine
70,276,Germany,Allemagne
72,710,South Africa,Afrique du Sud
76,156,China,Chine
84,840,United States,États-Unis
90,36,Australia,Australie
96,156,China,Chine
100,276,Germany,Allemagne
108,356,India,Inde
112,643,Russian Federation,Fédération de Russie
116,156,China,Chine
120,156,China,Chine
124,840,United States,États-Unis
132,620,Portugal,Portugal
136,840,United States,États-Unis
140,250,France,France
144,356,India,Inde
152,156,China,Chine
156,410,Rep. of Korea,République de Corée
170,840,United States,États-Unis
174,834,United Rep. of Tanzania,Rép.-Unie Tanzanie
178,334,Heard Island and McDonald Islands,Île Heard-et-Îles MacDonald
184,554,New Zealand,Nouvelle-Zélande
188,840,United States,États-Unis
191,276,Germany,Allemagne
196,300,Greece,Grèce
203,276,Germany,Allemagne
204,356,India,Inde
208,276,Germany,Allemagne
212,840,United States,États-Unis
214,840,United States,États-Unis
218,840,United States,États-Unis
222,840,United States,États-Unis
231,156,China,Chine
233,276,Germany,Allemagne
242,702,Singapore,Singapour
246,276,Germany,Allemagne
250,276,Germany,Allemagne
258,250,France,France
268,792,Turkey,Turquie
270,384,Côte d'Ivoire,Côte d'Ivoire
275,376,Israel,Israël
276,156,China,Chine
288,156,China,Chine
296,36,Australia,Australie
300,276,Germany,Allemagne
304,208,Denmark,Danemark
320,840,United States,États-Unis
324,156,China,Chine
328,840,United States,États-Unis
340,840,United States,États-Unis
344,156,China,Chine
348,276,Germany,Allemagne
352,578,Norway,Norvège
356,156,China,Chine
360,156,China,Chine
364,156,China,Chine
372,826,United Kingdom,Royaume-Uni
376,156,China,Chine
380,276,Germany,Allemagne
384,156,China,Chine
388,840,United States,États-Unis
392,156,China,Chine
398,643,Russian Federation,Fédération de Russie
400,156,China,Chine
404,156,China,Chine
410,156,China,Chine
414,156,China,Chine
417,156,China,Chine
422,760,Syrian Arab Rep.,Rép. arabe syrienne
426,710,South Africa,Afrique du Sud
428,440,Lithuania,Lituanie
440,643,Russian Federation,Fédération de Russie
442,56,Belgium,Belgique
446,156,China,Chine
450,156,China,Chine
454,710,South Africa,Afrique du Sud
458,156,China,Chine
462,784,United Arab Emirates,Émirats arabes unis
466,686,Senegal,Sénégal
470,380,Italy,Italie
478,410,Rep. of Korea,République de Corée
480,156,China,Chine
484,840,United States,États-Unis
496,156,China,Chine
498,642,Romania,Roumanie
499,688,Serbia,Serbie
500,840,United States,États-Unis
504,724,Spain,Espagne
508,710,South Africa,Afrique du Sud
512,784,United Arab Emirates,Émirats arabes unis
516,710,South Africa,Afrique du Sud
524,356,India,Inde
528,276,Germany,Allemagne
533,840,United States,États-Unis
540,250,France,France
548,156,China,Chine
554,156,China,Chine
558,840,United States,États-Unis
562,250,France,France
566,156,China,Chine
578,752,Sweden,Suède
583,410,Rep. of Korea,République de Corée
585,840,United States,États-Unis
586,156,China,Chine
591,156,China,Chine
598,36,Australia,Australie
600,156,China,Chine
604,156,China,Chine
608,156,China,Chine
616,276,Germany,Allemagne
620,724,Spain,Espagne
626,360,Indonesia,Indonésie
634,840,United States,États-Unis
642,276,Germany,Allemagne
643,156,China,Chine
646,156,China,Chine
659,840,United States,États-Unis
662,840,United States,États-Unis
670,840,United States,États-Unis
678,620,Portugal,Portugal
682,156,China,Chine
686,250,France,France
688,276,Germany,Allemagne
694,156,China,Chine
702,156,China,Chine
703,276,Germany,Allemagne
704,156,China,Chine
705,276,Germany,Allemagne
710,156,China,Chine
716,710,South Africa,Afrique du Sud
724,276,Germany,Allemagne
740,840,United States,États-Unis
752,276,Germany,Allemagne
756,276,Germany,Allemagne
764,156,China,Chine
768,156,China,Chine
776,554,New Zealand,Nouvelle-Zélande
784,899,Areas nes,Zones nsa
788,380,Italy,Italie
792,156,China,Chine
796,840,United States,États-Unis
800,156,China,Chine
804,643,Russian Federation,Fédération de Russie
807,276,Germany,Allemagne
818,156,China,Chine
826,276,Germany,Allemagne
834,156,China,Chine
840,156,China,Chine
854,156,China,Chine
858,156,China,Chine
862,840,United States,États-Unis
882,554,New Zealand,Nouvelle-Zélande
887,156,China,Chine
894,710,South Africa,Afrique du Sud
24,156,China,Chine
92,899,Areas nes,Zones nsa
104,156,China,Chine
148,156,China,Chine
180,156,China,Chine
192,156,China,Chine
226,724,Spain,Espagne
232,818,Egypt,Égypte
234,208,Denmark,Danemark
238,826,United Kingdom,Royaume-Uni
262,156,China,Chine
266,250,France,France
292,899,Areas nes,Zones nsa
308,840,United States,États-Unis
332,840,United States,États-Unis
368,899,Areas nes,Zones nsa
408,156,China,Chine
418,764,Thailand,Thaïlande
430,899,Areas nes,Zones nsa
434,380,Italy,Italie
580,899,Areas nes,Zones nsa
584,899,Areas nes,Zones nsa
624,620,Portugal,Portugal
654,826,United Kingdom,Royaume-Uni
660,840,United States,États-Unis
666,250,France,France
690,784,United Arab Emirates,Émirats arabes unis
706,156,China,Chine
728,800,Uganda,Ouganda
729,156,China,Chine
748,710,South Africa,Afrique du Sud
760,792,Turkey,Turquie
762,156,China,Chine
772,566,Nigeria,Nigéria
780,840,United States,États-Unis
795,792,Turkey,Turquie
798,702,Singapore,Singapour
860,643,Russian Federation,Fédération de Russie
876,250,France,France
158,156,China,Chine
